sender,receiver,date,location,identifier
Samuel L. Clemens,Jane Lampton Clemens,24 August 1853,New York N.Y,UCCL02711
Samuel L. Clemens,Jane Lampton Clemens,31 August 1853,New York N.Y,UCCL02712
Samuel L. Clemens,Pamela A. Moffett,3 September 1853,New York N.Y,UCCL02713 CU-MARK 2022
Samuel L. Clemens,Pamela A. Moffett,8 October 1853,New York N.Y,UCCL00001 CU-MARK 2022
Samuel L. Clemens,Orion and Henry Clemens,26–28 October 1853,Philadelphia Pa,UCCL00002 NPV
Samuel L. Clemens,Orion Clemens,28 November 1853,Philadelphia Pa,UCCL00003 NPV
Samuel L. Clemens,Muscatine Journal,4 December 1853,Philadelphia Pa,UCCL00004
Samuel L. Clemens,Pamela A. Moffett,5 December 1853,Philadelphia Pa,UCCL00005 NPV
Samuel L. Clemens,Muscatine Journal,24 December 1853,Philadelphia Pa,UCCL00006
Samuel L. Clemens,Muscatine Journal,3 February 1854,Philadelphia Pa,UCCL09400
Samuel L. Clemens,Muscatine Journal,17 and 18 February 1854,Washington D.C,UCCL00007
Samuel L. Clemens,Editors of the Muscatine Tri-Weekly Journal,16 February 1855,St. Louis Mo,UCCL00008
Samuel L. Clemens,Muscatine Tri-Weekly Journal,24–26 February 1855,St. Louis Mo,UCCL09994
Samuel L. Clemens,Muscatine Tri-Weekly Journal,1 March 1855,St. Louis Mo,UCCL09995
Samuel L. Clemens,Muscatine Tri-Weekly Journal,5 March 1855,St. Louis Mo,UCCL00009
Samuel L. Clemens,Mollie Clemens,20 April 1856,Keokuk Iowa,UCCL11347 NbL2
Samuel L. Clemens,Ann V. Ruffner,May 1856,Keokuk Iowa,UCCL11348
Samuel L. Clemens,Ann V. Ruffner,7 May 1856,Keokuk Iowa,UCCL11213
Samuel L. Clemens,Ann E. Taylor,21 and 25 May 1856,Keokuk Iowa,UCCL00010
Samuel L. Clemens,Jane Lampton Clemens and Pamela A. Moffett,10 June 1856,Keokuk Iowa,UCCL00011 NPV
Samuel L. Clemens,Henry Clemens,5 August 1856,Keokuk Iowa,UCCL00012 NPV
